Epoch,Loss,Value
36,kl_loss_6,1.9769
36,kl_loss_7,1.9949
36,kl_loss_8,2.1123
36,kl_loss_9,3.3236
36,loss,4747.2933
37,recon_loss,4697.9238
37,kl_loss,24.3562
37,kl_loss_0,2.5332
37,kl_loss_1,1.6762
37,kl_loss_2,2.4127
37,kl_loss_3,2.8609
37,kl_loss_4,2.6404
37,kl_loss_5,2.6958
37,kl_loss_6,2.018
37,kl_loss_7,2.0232
37,kl_loss_8,2.1047
37,kl_loss_9,3.391
37,loss,4795.3487
38,recon_loss,4668.0615
38,kl_loss,24.5672
38,kl_loss_0,2.5636
38,kl_loss_1,1.6688
38,kl_loss_2,2.5008
38,kl_loss_3,2.9028
38,kl_loss_4,2.729
38,kl_loss_5,2.7537
38,kl_loss_6,2.0216
38,kl_loss_7,1.9979
38,kl_loss_8,2.0422
38,kl_loss_9,3.3868
38,loss,4766.3302
39,recon_loss,4634.4906
39,kl_loss,24.1068
39,kl_loss_0,2.5016
39,kl_loss_1,1.6708
39,kl_loss_2,2.4545
39,kl_loss_3,2.8209
39,kl_loss_4,2.5959
39,kl_loss_5,2.6928
39,kl_loss_6,1.9537
39,kl_loss_7,1.9866
39,kl_loss_8,2.0413
39,kl_loss_9,3.3889
39,loss,4730.9179
40,recon_loss,4692.6297
40,kl_loss,24.5637
40,kl_loss_0,2.5503
40,kl_loss_1,1.7849
40,kl_loss_2,2.4818
40,kl_loss_3,2.8267
40,kl_loss_4,2.7084
40,kl_loss_5,2.7471
40,kl_loss_6,2.0179
40,kl_loss_7,1.9502
40,kl_loss_8,2.1231
40,kl_loss_9,3.3732
40,loss,4790.8844
41,recon_loss,4600.7588
41,kl_loss,24.6722
41,kl_loss_0,2.5652
41,kl_loss_1,1.7074
41,kl_loss_2,2.5168
41,kl_loss_3,2.8488
41,kl_loss_4,2.758
41,kl_loss_5,2.7435
41,kl_loss_6,2.024
41,kl_loss_7,2.0173
41,kl_loss_8,2.0689
41,kl_loss_9,3.4224
41,loss,4699.4478
42,recon_loss,4670.1499
42,kl_loss,24.7915
42,kl_loss_0,2.5554
42,kl_loss_1,1.7693
42,kl_loss_2,2.4672
42,kl_loss_3,2.8526
42,kl_loss_4,2.6644
42,kl_loss_5,2.7931
42,kl_loss_6,2.0451
42,kl_loss_7,2.0459
42,kl_loss_8,2.1501
42,kl_loss_9,3.4485
42,loss,4769.3161
43,recon_loss,4684.7397
43,kl_loss,24.538
43,kl_loss_0,2.5311
43,kl_loss_1,1.8075
43,kl_loss_2,2.5022
43,kl_loss_3,2.7587
43,kl_loss_4,2.7552
43,kl_loss_5,2.7282
43,kl_loss_6,2.0355
43,kl_loss_7,1.9824
43,kl_loss_8,2.0584
43,kl_loss_9,3.3787
43,loss,4782.8916
44,recon_loss,4622.768
44,kl_loss,24.8559
44,kl_loss_0,2.5727
44,kl_loss_1,1.863
44,kl_loss_2,2.57
44,kl_loss_3,2.8175
44,kl_loss_4,2.7028
44,kl_loss_5,2.6799
44,kl_loss_6,2.0486
44,kl_loss_7,2.0835
44,kl_loss_8,2.0748
44,kl_loss_9,3.4432
44,loss,4722.1917
45,recon_loss,4635.8118
45,kl_loss,24.9214
45,kl_loss_0,2.5914
45,kl_loss_1,1.8837
45,kl_loss_2,2.5026
45,kl_loss_3,2.8123
45,kl_loss_4,2.7184
45,kl_loss_5,2.783
45,kl_loss_6,2.0335
45,kl_loss_7,2.0921
45,kl_loss_8,2.0999
45,kl_loss_9,3.4046
45,loss,4735.4975
46,recon_loss,4678.1937
46,kl_loss,24.9272
46,kl_loss_0,2.6007
46,kl_loss_1,1.8591
46,kl_loss_2,2.5007
46,kl_loss_3,2.8409
46,kl_loss_4,2.721
46,kl_loss_5,2.7503
46,kl_loss_6,2.0532
46,kl_loss_7,2.0934
46,kl_loss_8,2.1038
46,kl_loss_9,3.404
46,loss,4777.9022
47,recon_loss,4669.5503
47,kl_loss,24.8089
47,kl_loss_0,2.6771
47,kl_loss_1,1.8537
47,kl_loss_2,2.535
47,kl_loss_3,2.8307
47,kl_loss_4,2.5969
47,kl_loss_5,2.7304
47,kl_loss_6,2.0364
47,kl_loss_7,2.0394
47,kl_loss_8,2.0997
47,kl_loss_9,3.4097
47,loss,4768.7858
48,recon_loss,4662.7413
48,kl_loss,24.9449
48,kl_loss_0,2.5235
48,kl_loss_1,1.9486
48,kl_loss_2,2.5448
48,kl_loss_3,2.8584
48,kl_loss_4,2.6986
48,kl_loss_5,2.7867
48,kl_loss_6,2.0059
48,kl_loss_7,2.0424
48,kl_loss_8,2.0669
48,kl_loss_9,3.4692
48,loss,4762.5208
49,recon_loss,4642.6029
49,kl_loss,24.6437
49,kl_loss_0,2.5639
49,kl_loss_1,1.8876
49,kl_loss_2,2.4791
49,kl_loss_3,2.7899
49,kl_loss_4,2.6519
49,kl_loss_5,2.7404
49,kl_loss_6,2.0288
49,kl_loss_7,2.0186
49,kl_loss_8,2.1204
49,kl_loss_9,3.3631
49,loss,4741.1776
50,recon_loss,4650.5993
50,kl_loss,24.9314
50,kl_loss_0,2.6114
50,kl_loss_1,1.8831
50,kl_loss_2,2.4531
50,kl_loss_3,2.8341
50,kl_loss_4,2.7484
50,kl_loss_5,2.7516
50,kl_loss_6,2.041
50,kl_loss_7,2.0522
50,kl_loss_8,2.1718
50,kl_loss_9,3.3846
50,loss,4750.325
51,recon_loss,4645.4285
51,kl_loss,24.7166
51,kl_loss_0,2.5908
51,kl_loss_1,1.8662
51,kl_loss_2,2.4918
51,kl_loss_3,2.8152
51,kl_loss_4,2.6498
51,kl_loss_5,2.7086
51,kl_loss_6,2.0495
51,kl_loss_7,2.0492
51,kl_loss_8,2.1745
51,kl_loss_9,3.3213
51,loss,4744.2948
52,recon_loss,4599.44
52,kl_loss,25.1625
52,kl_loss_0,2.6025
52,kl_loss_1,1.9139
52,kl_loss_2,2.569
52,kl_loss_3,2.8905
52,kl_loss_4,2.6954
52,kl_loss_5,2.7675
52,kl_loss_6,1.9941
52,kl_loss_7,2.1103
52,kl_loss_8,2.1909
52,kl_loss_9,3.4283
52,loss,4700.09
53,recon_loss,4646.9958
53,kl_loss,24.7411
53,kl_loss_0,2.6262
53,kl_loss_1,1.8788
53,kl_loss_2,2.4178
53,kl_loss_3,2.8241
53,kl_loss_4,2.6602
53,kl_loss_5,2.7931
53,kl_loss_6,2.0321
53,kl_loss_7,2.045
53,kl_loss_8,2.0786
53,kl_loss_9,3.3853
53,loss,4745.9603
54,recon_loss,4635.3174
54,kl_loss,25.1248
54,kl_loss_0,2.6254
54,kl_loss_1,1.9285
54,kl_loss_2,2.5076
54,kl_loss_3,2.8429
54,kl_loss_4,2.769
